Date,Open,High,Low,Close,Adj Close,Volume
Oct 24 2025,59800.0,59900.0,58800.0,59500.0,59500.0,4379400
Oct 23 2025,58900.0,60300.0,58900.0,59800.0,59800.0,4478162
Oct 22 2025,60100.0,60200.0,58500.0,59600.0,59600.0,4682742
Oct 21 2025,59700.0,60700.0,59300.0,59300.0,59300.0,8907885
Oct 20 2025,61800.0,62200.0,58600.0,59400.0,59400.0,12127300
Oct 17 2025,62900.0,62900.0,61800.0,61900.0,61900.0,5965555
Oct 16 2025,62700.0,63000.0,62500.0,62900.0,62900.0,4639896
Oct 15 2025,63100.0,63400.0,62500.0,62500.0,62500.0,5569622
Oct 14 2025,63500.0,64000.0,62900.0,63100.0,63100.0,7019006
Oct 13 2025,63400.0,63800.0,62800.0,63100.0,63100.0,8530994
Oct 10 2025,63900.0,64400.0,63600.0,64200.0,64200.0,5392243
Oct 9 2025,64500.0,65200.0,63800.0,63800.0,63800.0,5985726
Oct 8 2025,64200.0,64900.0,63600.0,64600.0,64600.0,8316928
Oct 7 2025,64100.0,64100.0,63300.0,63700.0,63700.0,4481587
Oct 6 2025,62800.0,64000.0,62800.0,64000.0,64000.0,7469299
Oct 3 2025,62000.0,62000.0,61400.0,61700.0,61700.0,3072042
Oct 2 2025,62400.0,63100.0,62100.0,62100.0,61650.0,3764921
Oct 1 2025,62700.0,62700.0,62000.0,62400.0,61947.83,3230888
Sep 30 2025,62800.0,62900.0,61800.0,62000.0,61550.73,4301201
Sep 29 2025,62900.0,62900.0,62400.0,62600.0,62146.38,3225923
Sep 26 2025,63200.0,63400.0,62900.0,63000.0,62543.48,4027553
Sep 25 2025,63300.0,63400.0,62700.0,63000.0,62543.48,4081042
Sep 24 2025,62400.0,62700.0,61800.0,62700.0,62245.65,3924578
Sep 23 2025,62400.0,63100.0,62200.0,62200.0,61749.28,3813363
Sep 22 2025,63000.0,63200.0,61800.0,62000.0,61550.73,6114086
Sep 19 2025,64200.0,64500.0,63000.0,63000.0,62543.48,7148361
Sep 18 2025,64900.0,64900.0,63600.0,63900.0,63436.96,8815058
Sep 17 2025,65500.0,65800.0,64800.0,64800.0,64330.43,6275957
Sep 16 2025,66000.0,66600.0,65600.0,65600.0,65124.64,6829896
Sep 15 2025,66000.0,66000.0,65500.0,65800.0,65323.19,12025590
Sep 12 2025,66200.0,66200.0,65000.0,65800.0,65323.19,5700154
Sep 11 2025,65600.0,66000.0,64200.0,65700.0,65223.91,6639770
Sep 10 2025,65600.0,66000.0,64800.0,65800.0,65323.19,5013842
Sep 9 2025,65500.0,66200.0,64500.0,64900.0,64429.71,6448308
Sep 8 2025,67100.0,67500.0,65300.0,65300.0,64826.81,11211920
Sep 5 2025,69500.0,69600.0,67500.0,67500.0,67010.87,11260080
Sep 4 2025,67500.0,69000.0,66900.0,68900.0,68400.73,9042641
Sep 3 2025,68800.0,68800.0,67000.0,67000.0,66514.49,14579980
Aug 29 2025,69200.0,70100.0,68500.0,68600.0,68102.9,14707680
Aug 28 2025,69500.0,70600.0,68700.0,69000.0,68500.0,9359793
Aug 27 2025,65000.0,69100.0,65000.0,69100.0,68599.27,33254600
Aug 26 2025,63600.0,65000.0,62900.0,64600.0,64131.88,8209194
Aug 25 2025,65800.0,65800.0,63400.0,63600.0,63139.13,7867628
Aug 22 2025,64000.0,67200.0,63700.0,64600.0,64131.88,19176940
Aug 21 2025,63300.0,65000.0,63300.0,64200.0,63734.78,9918977
Aug 20 2025,64500.0,64600.0,62200.0,63000.0,62543.48,10760680
Aug 19 2025,64500.0,65400.0,64200.0,64200.0,63734.78,9416712
Aug 18 2025,64800.0,65600.0,64000.0,64500.0,64032.61,8583087
Aug 15 2025,67400.0,67500.0,64200.0,64300.0,63834.06,16749930
Aug 14 2025,63700.0,66300.0,63300.0,65200.0,64727.54,19173770
Aug 13 2025,63500.0,63600.0,62000.0,62500.0,62047.1,7586427
Aug 12 2025,62800.0,64800.0,62700.0,63000.0,62543.48,12473370
Aug 11 2025,62100.0,63200.0,62100.0,62500.0,62047.1,7393190
Aug 8 2025,62200.0,63300.0,61600.0,61900.0,61451.45,10795670
Aug 7 2025,62900.0,62900.0,61300.0,61700.0,61252.9,9626430
Aug 6 2025,62100.0,62800.0,61900.0,62300.0,61848.55,4813719
Aug 5 2025,61500.0,63700.0,61200.0,61500.0,61054.35,18885850
Aug 4 2025,60100.0,61400.0,60000.0,61100.0,60657.25,4593017
Aug 1 2025,60300.0,60600.0,59700.0,60200.0,59763.77,4931693
Jul 31 2025,61500.0,61700.0,60100.0,60200.0,59763.77,6205831
Jul 30 2025,61000.0,61900.0,60400.0,60900.0,60458.7,7399600
Jul 29 2025,63200.0,63200.0,61000.0,61000.0,60557.97,10780710
Jul 28 2025,62200.0,63000.0,62100.0,62800.0,62344.93,10813560
Jul 25 2025,62100.0,62500.0,61900.0,62000.0,61550.73,5111588
Jul 24 2025,62200.0,63500.0,61900.0,62100.0,61650.0,8940746
Jul 23 2025,62500.0,62600.0,61800.0,62100.0,61650.0,5224822
